Date,Prices
2024-08-05,1045.79
2024-08-06,1047.01
2024-08-07,1072.97
2024-08-08,1077.51
2024-08-09,1077.94
2024-08-12,1081.91
2024-08-13,1084.37
2024-08-14,1097.53
2024-08-15,1106.25
2024-08-16,1107.65
2024-08-19,1116.43
2024-08-20,1113.38
2024-08-21,1112.05
2024-08-22,1116.2
2024-08-23,1118.97
2024-08-26,1122.24
2024-08-27,1116.16
2024-08-28,1120.6
2024-08-29,1130.31
2024-08-30,1130.61
2024-09-02,1132.23
2024-09-03,1121.24
2024-09-04,1105.69
2024-09-05,1090.12
2024-09-06,1080.44
2024-09-09,1090.61
2024-09-10,1085.31
2024-09-11,1079.51
2024-09-12,1089.64
2024-09-13,1095.58
2024-09-16,1090.15
2024-09-17,1089.46
2024-09-18,1083.07
2024-09-19,1092.22
2024-09-20,1078.74
2024-09-23,1080.95
2024-09-24,1089.76
2024-09-25,1098.92
2024-09-26,1103.92
2024-09-27,1106.63
2024-09-30,1099.57
2024-10-01,1093.59
2024-10-02,1097.13
2024-10-03,1088.43
2024-10-04,1088.5
2024-10-07,1086.46
2024-10-08,1088.01
2024-10-09,1097.54
2024-10-10,1092.4
2024-10-11,1099.96
2024-10-14,1110.11
2024-10-15,1104.29
2024-10-16,1102.54
2024-10-17,1113.11
2024-10-18,1114.84
2024-10-21,1108.27
2024-10-22,1100.36
2024-10-23,1099.2
2024-10-24,1102.5
2024-10-25,1105.5
2024-10-28,1110.61
2024-10-29,1098.92
2024-10-30,1086
2024-10-31,1072.85
2024-11-01,1087.47
